M[N][T],BEGIN,END,PRINT,READ,SEMICOLON,COMMA,ID,INTNUM,ASSIGN,LEFTPAR,RIGHTPAR,PLUS,MINUS,MULTIPLY,MODULO,$
<Tiny-program>,BEGIN <statement-list> END,,,,,,,,,,,,,,,
<statement>,,,PRINT LEFTPAR <exp-list> RIGHTPAR SEMICOLON,READ LEFTPAR <id-list> RIGHTPAR SEMICOLON,,,ID ASSIGN <exp> SEMICOLON,,,,,,,,,
<statement-list>,,,<statement> <statement-list-tail>,<statement> <statement-list-tail>,,,<statement> <statement-list-tail>,,,,,,,,,
<id-list>,,,,,,,ID <id-list-tail>,,,,,,,,,
<exp-list>,,,,,,,<exp> <exp-list-tail>,<exp> <exp-list-tail>,,<exp> <exp-list-tail>,,,,,,
<exp>,,,,,,,<mult-term> <exp-tail>,<mult-term> <exp-tail>,,<mult-term> <exp-tail>,,,,,,
<exp-tail>,,,,,EMPTY,EMPTY,,,,,EMPTY,<addop> <mult-term> <exp-tail>,<addop> <mult-term> <exp-tail>,,,
<mult-term>,,,,,,,<mod-term> <mult-term-tail>,<mod-term> <mult-term-tail>,,<mod-term> <mult-term-tail>,,,,,,
<mult-term-tail>,,,,,EMPTY,EMPTY,,,,,EMPTY,EMPTY,EMPTY,<multop> <mod-term> <mult-term-tail>,,
<mod-term>,,,,,,,<factor> <mod-term-tail>,<factor> <mod-term-tail>,,<factor> <mod-term-tail>,,,,,,
<mod-term-tail>,,,,,EMPTY,EMPTY,,,,,EMPTY,EMPTY,EMPTY,EMPTY,<modop> <factor> <mod-term-tail>,
<factor>,,,,,,,<number>,<number>,,LEFTPAR <exp> RIGHTPAR,,,,,,
<addop>,,,,,,,,,,,,PLUS,MINUS,,,
<multop>,,,,,,,,,,,,,,MULTIPLY,,
<modop>,,,,,,,,,,,,,,,MODULO,
<number>,,,,,,,ID,INTNUM,,,,,,,,
<statement-list-tail>,,EMPTY,<statement> <statement-list-tail>,<statement> <statement-list-tail>,,,<statement> <statement-list-tail>,,,,,,,,,
<id-list-tail>,,,,,,COMMA ID <id-list-tail>,,,,,EMPTY,,,,,
<exp-list-tail>,,,,,,COMMA <exp> <exp-list-tail>,,,,,EMPTY,,,,,
